Entity Name,Gene Symbol,EnsemblId(GRch37),Phenotypes
E2F3,E2F3,ENSG00000112242,
EARS2,EARS2,ENSG00000103356,"Combined oxidative phosphorylation deficiency 12, 614924;Leukoencephalopathy with thalamus and brainstem involvement and high lactate (LTBL);Drug-refractory seizures;Epilepsy"
EBF3,EBF3,ENSG00000108001,"Intellectual Disability, Ataxia, and Facial Dysmorphism"
EBP,EBP,ENSG00000147155,"CHONDRODYSPLASIA PUNCTATA 2, X-LINKED"
ECE1,ECE1,,
ECEL1,ECEL1,ENSG00000171551,DISTAL ARTHROGRYPOSIS TYPE 5D
ECHS1,ECHS1,ENSG00000127884,"Mitochondrial short-chain enoyl-CoA hydratase 1 deficiency, 616277"
ECSIT,ECSIT,ENSG00000130159,No OMIM phenotype;Isolated complex I deficiency
EDA,EDA,ENSG00000158813,TOOTH AGENESIS SELECTIVE X-LINKED TYPE 1;ECTODERMAL DYSPLASIA TYPE 1
EDAR,EDAR,ENSG00000135960,"Ectodermal dysplasia 10B, hypohidrotic/hair/tooth type, autosomal recessive;Ectodermal dysplasia 10B, hypohidrotic/hair/tooth type, autosomal recessive, 224900"
EDARADD,EDARADD,,
EDN1,EDN1,ENSG00000078401,AURICULOCONDYLAR SYNDROME
EDN3,EDN3,,
EDNRA,EDNRA,ENSG00000151617,MANDIBULOFACIAL DYSOSTOSIS WITH ALOPECIA
EDNRB,EDNRB,ENSG00000136160,ABCD SYNDROME
EED,EED,ENSG00000074266,Weaver-like overgrowth syndrome
EEF1A2,EEF1A2,ENSG00000101210,INFANTILE EPILEPTIC ENCEPHALOPATHY
EEF1B2,EEF1B2,ENSG00000114942,AUTOSOMAL RECESSIVE MENTAL RETARDATION
EFEMP1,EFEMP1,,
EFEMP2,EFEMP2,,
EFHC1,EFHC1,ENSG00000096093,"{Epilepsy, juvenile absence, susceptibility to, 1} 607631;{Myoclonic epilepsy, juvenile, susceptibility to, 1} 254770"
EFNB1,EFNB1,ENSG00000090776,CRANIOFRONTONASAL SYNDROME
EFTUD2,EFTUD2,ENSG00000108883,MANDIBULOFACIAL DYSOSTOSIS WITH MICROCEPHALY
EGF,EGF,ENSG00000138798,"Hypomagnesaemia type 4, renal (Disorder of magnesium metabolism)"
EGR2,EGR2,ENSG00000122877,"NEUROPATHY, CONGENITAL HYPOMYELINATING, 1"
EHHADH,EHHADH,ENSG00000113790,?Fanconi renotubular syndrome 3 615605
EHMT1,EHMT1,ENSG00000181090,9Q SUBTELOMERIC DELETION SYNDROME
EIF2AK3,EIF2AK3,ENSG00000172071,WOLCOTT-RALLISON SYNDROME
EIF2AK4,EIF2AK4,,
EIF2B1,EIF2B1,ENSG00000111361,"Leukoencephalopathy with vanishing white matter, 603896"
EIF2B2,EIF2B2,ENSG00000119718,"Leukoencephalopathy with vanishing white matter, 603896"
EIF2B3,EIF2B3,ENSG00000070785,vanishing white matter disease 603896
EIF2B4,EIF2B4,ENSG00000115211,"Leukoencephalopathy with vanishing white matter, 603896"
EIF2B5,EIF2B5,ENSG00000145191,Leukoencephalopathy with vanishing white matter 603896;Ovarioleukodystrophy 603896
EIF2S3,EIF2S3,ENSG00000130741,Syndromic ID with severe microcephaly
EIF3F,EIF3F,ENSG00000175390,Intellectual disability;Seizures;Behavioral abnormality;Sensorineural hearing impairment
EIF4A3,EIF4A3,ENSG00000141543,RICHIERI-COSTA-PEREIRA SYNDROME
EIF4G1,EIF4G1,ENSG00000114867,"Parkinson disease 18, 614251"
ELAC2,ELAC2,ENSG00000006744,"INFANTILE HYPERTROPHIC CARDIOMYOPATHY, LACTIC ACIDOSIS, AND ISOLATED COMPLEX I DEFICIENCY"
ELANE,ELANE,ENSG00000197561,"Neutropenia, cyclic 162800;Neutropenia, severe congenital 1, autosomal dominant 202700"
ELF4,ELF4,ENSG00000102034,X-linked hypogammaglobulinemia with isolated growth hormone deficiency
ELK1,ELK1,ENSG00000126767,
ELMO2,ELMO2,ENSG00000062598,Intraosseous Vascular Malformation
ELN,ELN,ENSG00000049540,ELN-RELATED CUTIS LAXA;SUPRAVALVAR AORTIC STENOSIS
ELOVL4,ELOVL4,ENSG00000118402,"ICHTHYOSIS, SPASTIC QUADRIPLEGIA, AND MENTAL RETARDATION"
ELOVL5,ELOVL5,ENSG00000012660,"Spinocerebellar ataxia 38, 615957"
ELP2,ELP2,ENSG00000134759,"Mental retardation, autosomal recessive 58  617270"
EMC1,EMC1,ENSG00000127463,"Global Developmental Delay, Hypotonia, Scoliosis, and Cerebellar Atrophy."
EMD,EMD,ENSG00000102119,"Emery-Dreifuss muscular dystrophy 1, X-linked 310300"
EMG1,EMG1,ENSG00000126749,"Bowen-Conradi syndrome;Bowen-Conradi syndrome, 211180"
EML1,EML1,ENSG00000066629,"Band heterotopia, 600348"
EMP2,EMP2,ENSG00000213853,"steroid sensitive nephrotic syndrome;Nephrotic syndrome, type 10 #615861"
EMX2,EMX2,ENSG00000170370,"Schizencephaly, 269160"
EN2,EN2,ENSG00000164778,
ENG,ENG,ENSG00000106991,"187300 Telangiectasia, hereditary hemorrhagic, type 1"
ENO1,ENO1,ENSG00000074800,Enzyme Disorder; Enolase deficiency
ENO3,ENO3,ENSG00000108515,
ENOX2,ENOX2,ENSG00000165675,
ENPP1,ENPP1,ENSG00000197594,"HYPOPHOSPHATEMIC RICKETS, AUTOSOMAL RECESSIVE, 2;ARTERIAL CALCIFICATION, GENERALIZED, OF INFANCY, 1"
ENTPD1,ENTPD1,ENSG00000138185,"Spasticparaplegia 64, 615683"
EOGT,EOGT,ENSG00000163378,ADAMS OLIVER SYNDROME
EOMES,EOMES,ENSG00000163508,microcephaly syndrome
EP300,EP300,ENSG00000100393,RUBINSTEIN-TAYBI SYNDROME TYPE 2
EPB41,EPB41,ENSG00000159023,"RBC membrane abnormality;Elliptocytosis;Elliptocytosis-1,611804;Hereditary elliptocytosis"
EPB41L1,EPB41L1,ENSG00000088367,"?Mental retardation, autosomal dominant 11  614257"
EPB42,EPB42,ENSG00000166947,"RBC membrane abnormality;Elliptocytosis;Spherocytosis, type 5, 612690;Hereditary spherocytosis type 5;Minkowski-Chauffard disease;Spherocytosis, Recessive;EPB42-related hereditary spherocytosis"
EPCAM,EPCAM,ENSG00000119888,"Diarrhea 5, with tufting enteropathy, congenital"
EPG5,EPG5,ENSG00000152223,"IMMUNODEFICIENCY WITH CLEFT LIP/PALATE, CATARACT, HYPOPIGMENTATION, AND ABSENT CORPUS CALLOSUM"
EPHA4,EPHA4,ENSG00000116106,
EPHB2,EPHB2,ENSG00000133216,
EPHB4,EPHB4,ENSG00000196411,hydrops fetalis gene
EPHX1,EPHX1,ENSG00000143819,"Hypercholanemia, familial;?Fetal hydantoin syndrome;Diphenylhydantoin toxicity"
EPM2A,EPM2A,ENSG00000112425,"Epilepsy, progressive myoclonic 2A (Lafora) 254780"
EPO,EPO,ENSG00000130427,"DBA;Diamond-Blackfan anemia-like (AR), 617911;Erythrocytosis, familial 5 (AD), 617907"
EPPK1,EPPK1,ENSG00000227184,
EPRS,EPRS,ENSG00000136628,Hypomyelinating Leukodystrophy
ERAL1,ERAL1,ENSG00000132591,"Perrault syndrome 6, 617565"
ERBB3,ERBB3,ENSG00000065361,Lethal congenital contractural syndrome 2 607598
ERBIN,ERBIN,ENSG00000112851,"ERBIN deficiency;Combined immunodeficiencies with associated or syndromic features;Recurrent respiratory infections, susceptibility to S. aureus, eczema, hyperextensible joints, scoliosis, arterial dilatation in some"
ERCC1,ERCC1,ENSG00000012061,CEREBROOCULOFACIOSKELETAL SYNDROME 4;FANCONI ANEMIA
ERCC2,ERCC2,ENSG00000104884,XERODERMA PIGMENTOSUM COMPLEMENTATION GROUP D;CEREBRO-OCULO-FACIO-SKELETAL SYNDROME TYPE 2;TRICHOTHIODYSTROPHY PHOTOSENSITIVE
ERCC3,ERCC3,ENSG00000163161,XERODERMA PIGMENTOSUM COMPLEMENTATION GROUP B;TRICHOTHIODYSTROPHY PHOTOSENSITIVE
ERCC4,ERCC4,ENSG00000175595,"XFE PROGEROID SYNDROME;FANCONI ANEMIA, COMPLEMENTATION GROUP Q;PRIMORDIAL DWARFISM;XERODERMA PIGMENTOSUM, GROUP F;Xeroderma pigmentosum, group F, 278760"
ERCC5,ERCC5,ENSG00000134899,XERODERMA PIGMENTOSUM COMPLEMENTATION GROUP G
ERCC6,ERCC6,ENSG00000225830,UV-SENSITIVE SYNDROME;CEREBRO-OCULO-FACIO-SKELETAL SYNDROME TYPE 1;COCKAYNE SYNDROME TYPE B;DE SANCTIS-CACCHIONE SYNDROME
ERCC6L2,ERCC6L2,ENSG00000182150,BONE MARROW FAILURE SYNDROME 2
ERCC8,ERCC8,ENSG00000049167,COCKAYNE SYNDROME TYPE A
ERF,ERF,ENSG00000105722,"COMPLEX CRANIOSYNOSTOSIS;Chitayat syndrome: hyperphalangism, characteristic facies, hallux valgus and bronchomalacia"
ERLIN1,ERLIN1,ENSG00000107566,"Hereditary spastic paraplegia;Spastic paraplegia 62, 615681"
ERLIN2,ERLIN2,ENSG00000147475,"Spastic paraplegia, autosomal dominant;Spastic paraplegia 18, autosomal recessive,  611225;hereditary spastic paraplegia;neurodegeneration"
ERMARD,ERMARD,ENSG00000130023,Periventricular nodular heterotopia 6  615544  
ESCO2,ESCO2,ENSG00000171320,SC PHOCOMELIA SYNDROME;ROBERTS SYNDROME
ESPN,ESPN,,
ESR1,ESR1,ENSG00000091831,
ESRP2,ESRP2,ENSG00000103067,cleft lip
ESRRB,ESRRB,,
ESX1,ESX1,ENSG00000123576,
ETF1,ETF1,ENSG00000120705,
ETFA,ETFA,ENSG00000140374,GLUTARIC ACIDURIA TYPE 2A
ETFB,ETFB,ENSG00000105379,GLUTARIC ACIDURIA TYPE 2B
ETFDH,ETFDH,ENSG00000171503,GLUTARIC ACIDURIA TYPE 2C
ETHE1,ETHE1,ENSG00000105755,ETHYLMALONIC ENCEPHALOPATHY
ETV6,ETV6,ENSG00000139083,616216 Thrombocytopenia 5
EVC,EVC,ENSG00000072840,ELLIS-VAN CREVELD SYNDROME;ACROFACIAL DYSOSTOSIS WEYERS TYPE
EVC2,EVC2,ENSG00000173040,ELLIS-VAN CREVELD SYNDROME;ACROFACIAL DYSOSTOSIS WEYERS TYPE
EXOC3L2,EXOC3L2,ENSG00000130201,Dandy-Walker malformation;enlarged echogenic kidneys;echogenic kidneys;hydrocephalus;anhydramnios
EXOC8,EXOC8,ENSG00000116903,"No OMIM phenotype;Joubert syndrome (Dixon-Salazar (2012) Sci Transl Med 4, 138ra78)"
EXOSC3,EXOSC3,ENSG00000107371,PONTOCEREBELLAR HYPOPLASIA TYPE 1
EXOSC8,EXOSC8,ENSG00000120699,"Pontocerebellar hypoplasia, type 1C   616081  "
EXOSC9,EXOSC9,ENSG00000123737,
EXPH5,EXPH5,ENSG00000110723,INHERITED SKIN FRAGILITY
EXT1,EXT1,ENSG00000182197,HEREDITARY MULTIPLE EXOSTOSES TYPE 1;TRICHO-RHINO-PHALANGEAL SYNDROME TYPE 2
EXT2,EXT2,ENSG00000151348,"EXOSTOSES, MULTIPLE, TYPE 2"
EXTL3,EXTL3,ENSG00000012232,Immunoskeletal dysplasia with neurodevelopmental abnormalities  617425
EYA1,EYA1,ENSG00000104313,BRANCHIOOTORENAL SYNDROME TYPE 1
EYA4,EYA4,,
EYS,EYS,,
EZH2,EZH2,ENSG00000106462,WEAVER SYNDROME 2
F10,F10,ENSG00000126218,227600 Factor X deficiency
F11,F11,ENSG00000088926,612416 Factor XI deficiency
F12,F12,ENSG00000131187,"234000 Factor XII deficiency;234000 Factor XII deficiency, hereditary Angioedema type III;610618 Hereditary Angioedema type III"
F13A1,F13A1,ENSG00000124491,613225 Factor XIII deficiency
F13B,F13B,ENSG00000143278,613235 Factor XIII deficiency
F2,F2,ENSG00000180210,613679 Factor II deficiency
F2R,F2R,ENSG00000181104,Type 1 VWD
F5,F5,ENSG00000198734,"227400 Factor V deficiency, 188055 Thrombophilia due to activated protein C resistance, 188055 {Thrombophilia, susceptibility to, due to factor V Leiden};227400 Factor V deficiency;188055 {Thrombophilia, susceptibility to, due to factor V Leiden};188055 Thrombophilia due to activated protein C resistance"
F7,F7,ENSG00000057593,227500 Factor VII deficiency
F8,F8,ENSG00000185010,306700 Haemophilia A
F9,F9,ENSG00000101981,306900 Haemophilia B
FA2H,FA2H,ENSG00000103089,"Spastic paraplegia 35, autosomal recessive, 612319"
FAAH2,FAAH2,ENSG00000165591,
FAAP24,FAAP24,ENSG00000131944,Diseases of Immune Dysregulation;EBV infection-driven lymphoproliferative disease
FADD,FADD,ENSG00000168040,"Infections, recurrent, with encephalopathy, hepatic dysfunction, and cardiovasuclar malformations, 613759;ALPS-like disease;functional hyposplenism;invasive pneumococcal disease;para-infectious encephalopathy and hepatopathy;cardiovascular malformations;Functional hyposplenism, bacterial and viral infections, recurrent episodes of encephalopathy and liver dysfunction;Diseases of Immune Dysregulation"
FAH,FAH,ENSG00000103876,TYROSINEMIA TYPE 1
FAM111A,FAM111A,ENSG00000166801,KENNY-CAFFEY SYNDROME
FAM111B,FAM111B,ENSG00000189057,"Poikiloderma, hereditary fibrosing, with tendon contractures, myopathy, and pulmonary fibrosis, 615704"
FAM120C,FAM120C,ENSG00000184083,
FAM126A,FAM126A,ENSG00000122591,LEUKODYSTROPHY HYPOMYELINATING TYPE 5
FAM134B,FAM134B,,
FAM149B1,FAM149B1,ENSG00000138286,Joubert syndrome;oral-facial-digital syndrome;OFD VI
FAM160B1,FAM160B1,ENSG00000151553,Central hypotonia;Global developmental delay;Intellectual disability;Abnormality of the face
FAM161A,FAM161A,ENSG00000170264,RETINITIS PIGMENTOSA 28
FAM20A,FAM20A,ENSG00000108950,AMELOGENESIS IMPERFECTA AND GINGIVAL FIBROMATOSIS SYNDROME
FAM20C,FAM20C,ENSG00000177706,RAINE SYNDROME
FAM46A,FAM46A,ENSG00000112773,"Osteogenesis imperfecta, type XVIII 617952"
FAM47B,FAM47B,ENSG00000189132,
FAM58A,FAM58A,ENSG00000147382,STAR SYNDROME
FAM92A,FAM92A,ENSG00000188343,postaxial polydactyly type A9
FAN1,FAN1,ENSG00000198690,"interstitial nephritis;chronic kidney disease;Interstitial nephritis, karyomegalic 614817"
FANCA,FANCA,ENSG00000187741,"FANCONI ANEMIA, COMPLEMENTATION GROUP A"
FANCB,FANCB,ENSG00000181544,FANCB-RELATED FANCONI ANEMIA
FANCC,FANCC,ENSG00000158169,"FANCONI ANEMIA, COMPLEMENTATION GROUP C"
FANCD2,FANCD2,ENSG00000144554,"FANCONI ANEMIA, COMPLEMENTATION GROUP D2"
FANCE,FANCE,ENSG00000112039,"FANCONI ANEMIA, COMPLEMENTATION GROUP E"
FANCF,FANCF,ENSG00000183161,"FANCONI ANEMIA, COMPLEMENTATION GROUP F"
FANCG,FANCG,ENSG00000221829,"FANCONI ANEMIA, COMPLEMENTATION GROUP G"
FANCI,FANCI,ENSG00000140525,FANCI-RELATED FANCONI ANEMIA;FANCONI ANEMIA
FANCL,FANCL,ENSG00000115392,FANCL-RELATED FANCONI ANEMIA;FANCONI ANEMIA
FANCM,FANCM,ENSG00000187790,FANCM-RELATED FANCONI ANEMIA;FANCONI ANEMIA
FAR1,FAR1,ENSG00000197601,"SEVERE INTELLECTUAL DISABILITY, EPILEPSY, AND CATARACTS"
FARS2,FARS2,ENSG00000145982,Neurometabolic disorder due to FARS2 deficiency
FAS,FAS,ENSG00000026103,"Autoimmune lymphoproliferative syndrome type IA, 601859;Autoimmune lymphoproliferative syndrome, type IA (ALPS-FAS);Autoimmune lymphoproliferative syndrome (ALPS);Splenomegaly, adenopathies, autoimmune cytopenias, increased lymphoma risk, IgG and A normal or increased, elevated serum FasL and IL-10, vitamin B12;Diseases of Immune Dysregulation"
FASLG,FASLG,ENSG00000117560,"Autoimmune lymphoproliferative syndrome, type IB, 601859;Autoimmune lymphoproliferative syndrome, type IB (ALPS-FASG);Autoimmune lymphoproliferative syndrome (ALPS);Splenomegaly, adenopathies, autoimmune cytopenias, SLE, soluble FasL is not elevated;Diseases of Immune Dysregulation"
FASN,FASN,ENSG00000169710,AUTOSOMAL RECESSIVE MENTAL RETARDATION
FASTKD2,FASTKD2,ENSG00000118246,
FAT1,FAT1,ENSG00000083857,Glomerulotubular nephropathy
FAT4,FAT4,ENSG00000196159,PERIVENTRICULAR NEURONAL HETEROTOPIA
FBF1,FBF1,ENSG00000188878,
FBLIM1,FBLIM1,ENSG00000162458,Majeed syndrome (Chronic recurrent multifocal osteomyelitis with congenital dyserythropoietic anemia) 609628
FBLN1,FBLN1,ENSG00000077942,"Synpolydactyly, 3/3'4, associated with metacarpal and metatarsal synostoses 608180;SYNPOLYDACTYLY, 3/3-PRIME/4, ASSOCIATED WITH METACARPAL AND METATARSAL SYNOSTOSES"
FBLN5,FBLN5,ENSG00000140092,Cutis laxa 614434;Cutis laxa 219100
FBN1,FBN1,ENSG00000166147,SHPRINTZEN-GOLDBERG CRANIOSYNOSTOSIS SYNDROME;MARFAN SYNDROME;MASS SYNDROME/OVERLAP CONNECTIVE TISSUE DISEASE
FBN2,FBN2,ENSG00000138829,CONGENITAL CONTRACTURAL ARACHNODACTYLY
FBP1,FBP1,ENSG00000165140,"FRUCTOSE 1,6 BISPHOSPHATASE DEFICIENCY"
FBP2,FBP2,ENSG00000130957,isolated lactic acidosis
FBXL3,FBXL3,ENSG00000005812,"Short stature;Intellectual developmental disorder with short stature, facial anomalies, and speech defects, 606220;Intellectual disability"
FBXL4,FBXL4,ENSG00000112234,"FATAL ENCEPHALOPATHY, LACTIC ACIDOSIS, AND SEVERE MTDNA DEPLETION IN MUSCLE"
FBXO11,FBXO11,ENSG00000138081,Variable Neurodevelopmental Disorder
FBXO25,FBXO25,ENSG00000147364,Expression in brain
FBXO38,FBXO38,ENSG00000145868,"Neuronopathy, distal hereditary motor, type IID   615575  "
FBXO7,FBXO7,ENSG00000100225,"Parkinson disease 15, autosomal recessive, 260300;juvenile parkinsonism;Dystonia"
FBXO8,FBXO8,ENSG00000164117,moderate developmental delay
FBXW11,FBXW11,ENSG00000072803,Global developmental delay;Intellectual disability;Abnormality of the eye;Abnormality of the head;Abnormality of digit
FBXW4,FBXW4,ENSG00000107829,SPLIT-HAND/FOOT MALFORMATION TYPE 3
FBXW7,FBXW7,ENSG00000109670,Acute lymphoblastic leukemia (ALL)
FCGR1A,FCGR1A,ENSG00000150337,Fc receptor deficiencies
FCGR2A,FCGR2A,ENSG00000143226,Fc receptor deficiencies
FCGR2B,FCGR2B,ENSG00000072694,Fc receptor deficiencies
FCGR3A,FCGR3A,ENSG00000203747,"Immunodeficiency 20, 615707;CD16 deficiency;Defects in Intrinsic and Innate Immunity;Fc receptor deficiencies;predisposition to severe viral infection;severe herpes viral infections, particularly VZV, Epstein Barr virus (EBV), and (HPV);Autosomal recessive primary immunodeficiency with defective spontaneous NK cell cytotoxicity"
FCGR3B,FCGR3B,ENSG00000162747,"Neutropenia,alloimmuneneonatal"
FCGRT,FCGRT,ENSG00000104870,Fc receptor deficiencies
FCHO1,FCHO1,ENSG00000130475,"Recurrent infections, lymphoproliferation, increased activation-induced T-cell death, defective clathrin-mediated endocytosis;FCHO1 deficiency;Immunodeficiencies affecting cellular and humoral immunity"
FCN3,FCN3,ENSG00000142748,"Respiratory infections, abscesses;Immunodeficiency due to ficolin 3 deficiency, 613860;Complement Deficiencies;Ficolin3 deficiency"
FDFT1,FDFT1,ENSG00000079459,Profound global developmental delay;Intellectual disability;Seizures;Abnormality of nervous system morphology;Cortical visual impairment;Abnormality of the skin;Abnormality of the face
FDX2,FDX2,ENSG00000267673,"Mitochondrial myopathy, episodic, with optic atrophy and reversible leukoencephalopathy 251900"
FDXR,FDXR,ENSG00000161513,
FECH,FECH,ENSG00000066926,
FERMT1,FERMT1,ENSG00000101311,"Kindler syndrome, 173650;FERMT1 deficiency (Kindler syndrome);Diseases of Immune Dysregulation;Dermatosis characterized by congenital blistering, skin atrophy, photosensitivity, skin fragility, and scaling"
FERMT3,FERMT3,ENSG00000149781,"612840 Leukocyte integrin adhesion deficiency, type III"
FEZF1,FEZF1,ENSG00000128610,HYPOGONADOTROPIC HYPOGONADISM WITH OR WITHOUT ANOSMIA
FGA,FGA,ENSG00000171560,"202400 Afibrinogenemia, congenital;616004 Hypodysfibrinogenemia, congenital;105200 Amyloidosis, familial visceral;616004 Dysfibrinogenemia, congenital"
FGB,FGB,ENSG00000171564,"202400 Afibrinogenemia, congenital;202400 Afibrinogenemia, congenital, Hypofibrinogenemia, congenital, 616004 Dysfibrinogenemia, congenital;616004 Dysfibrinogenemia, congenital;202400 Hypofibrinogenemia, congenital;202400 Afibrinogenemia, congenital, Hypofibrinogenemia, congenital"
FGD1,FGD1,ENSG00000102302,AARSKOG-SCOTT SYNDROME
FGD4,FGD4,ENSG00000139132,Charcot-Marie-Tooth disease 609311
FGF10,FGF10,ENSG00000070193,LADD SYNDROME
FGF12,FGF12,ENSG00000114279,EPILEPTIC ENCEPHALOPATHY
FGF14,FGF14,ENSG00000102466,"Spinocerebellar ataxia 27, 609307"
FGF16,FGF16,ENSG00000196468,Metacarpal 4-5 fusion 309630;Metacarpal 4-5 fusion	309630
FGF17,FGF17,ENSG00000158815,Hypogonadotropic hypogonadism 20 with or without anosmia 615270
FGF23,FGF23,ENSG00000118972,"Hypophosphatemic rickets, autosomal dominant 193100;Osteomalacia, tumor-induced;Tumoral calcinosis, hyperphosphatemic, familial 211900"
FGF3,FGF3,ENSG00000186895,"DEAFNESS WITH LABYRINTHINE APLASIA, MICROTIA AND MICRODONTIA"
FGF8,FGF8,ENSG00000107831,Hypogonadotropic hypogonadism 6 with or without anosmia 612702
FGF9,FGF9,ENSG00000102678,MULTIPLE SYNOSTOSES SYNDROME TYPE 3
FGFR1,FGFR1,ENSG00000077782,IDIOPATHIC HYPOGONADOTROPIC HYPOGONADISM;OSTEOGLOPHONIC DYSPLASIA;PFEIFFER SYNDROME;KALLMANN SYNDROME TYPE 2;Hartsfield syndrome;Encephalocraniocutaneous lipomatosis
FGFR2,FGFR2,ENSG00000066468,BEARE-STEVENSON CUTIS GYRATA SYNDROME;LACRIMO-AURICULO-DENTO-DIGITAL SYNDROME;JACKSON-WEISS SYNDROME;ACROCEPHALOSYNDACTYLY TYPE V;FAMILIAL SCAPHOCEPHALY SYNDROME;ANTLEY-BIXLER SYNDROME;CROUZON SYNDROME;APERT SYNDROME
FGFR3,FGFR3,ENSG00000068078,LACRIMO-AURICULO-DENTO-DIGITAL SYNDROME;MUENKE SYNDROME;ACHONDROPLASIA;CROUZON SYNDROME WITH ACANTHOSIS NIGRICANS;CAMPTODACTYLY TALL STATURE AND HEARING LOSS SYNDROME;HYPOCHONDROPLASIA;THANATOPHORIC DYSPLASIA TYPE 2;THANATOPHORIC DYSPLASIA TYPE 1
FGG,FGG,ENSG00000171557,"202400 Afibrinogenemia, congenital;616004 Hypodysfibrinogenemia, congenital;616004 Dysfibrinogenemia, congenital"
FH,FH,ENSG00000091483,FUMARASE DEFICIENCY
FHL1,FHL1,ENSG00000022267,"EMERY-DREIFUSS MUSCULAR DYSTROPHY 6, X-LINKED"
FHL2,FHL2,,
FIBP,FIBP,ENSG00000172500,Thauvin-Robinet-Faivre syndrome
FIG4,FIG4,ENSG00000112367,"CLEIDOCRANIAL DYSPLASIA WITH MICROGNATHIA, ABSENT THUMBS, AND DISTAL APHALANGIA YUNIS-VARON SYNDROME;CHARCOT-MARIE-TOOTH DISEASE, TYPE 4J"
FKBP10,FKBP10,ENSG00000141756,Bruck syndrome 1 259450
FKBP14,FKBP14,ENSG00000106080,"EHLERS-DANLOS SYNDROME WITH PROGRESSIVE KYPHOSCOLIOSIS, MYOPATHY, AND HEARING LOSS"
FKBP6,FKBP6,ENSG00000077800,Williams-Beuren syndrome
FKBPL,FKBPL,ENSG00000204315,
FKRP,FKRP,ENSG00000181027,MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY CONGENITAL WITH OR WITHOUT MENTAL RETARDATION TYPE B5;MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY LIMB-GIRDLE TYPE C5;MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY CONGENITAL WITH BRAIN AND EYE ANOMALIES TYPE A5
FKTN,FKTN,ENSG00000106692,MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY CONGENITAL WITHOUT MENTAL RETARDATION TYPE B4;CARDIOMYOPATHY DILATED TYPE 1X;MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY LIMB-GIRDLE TYPE C4;MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY CONGENITAL WITH BRAIN AND EYE ANOMALIES TYPE A4
FLAD1,FLAD1,ENSG00000160688,Riboflavin-Responsive and Non-responsive Multiple Acyl-CoA Dehydrogenase and Combined Respiratory-Chain Deficiency.
FLCN,FLCN,,
FLG,FLG,ENSG00000143631,ICHTHYOSIS VULGARIS 146700
FLI1,FLI1,ENSG00000151702,"617443 BLEEDING DISORDER, PLATELET-TYPE, 21;BDPLT21;617443.BLEEDING DISORDER, PLATELET-TYPE, 21"
FLNA,FLNA,ENSG00000196924,TERMINAL OSSEOUS DYSPLASIA;OTOPALATODIGITAL SYNDROME TYPE 1;EPILEPTIC ENCEPHALOPATHY;MELNICK-NEEDLES SYNDROME;PERIVENTRICULAR NODULAR HETEROTOPIA TYPE 1;FG SYNDROME TYPE 2;X-LINKED CONGENITAL IDIOPATHIC INTESTINAL PSEUDOOBSTRUCTION;OTOPALATODIGITAL SYNDROME TYPE 2;FRONTOMETAPHYSEAL DYSPLASIA
FLNB,FLNB,ENSG00000136068,ATELOSTEOGENESIS TYPE 1;BOOMERANG DYSPLASIA;SPONDYLOCARPOTARSAL SYNOSTOSIS SYNDROME;AUTOSOMAL DOMINANT LARSEN SYNDROME;ATELOSTEOGENESIS TYPE 3
FLNC,FLNC,ENSG00000128591,"Myopathy, myofibrillar, 5	609524"
FLRT3,FLRT3,ENSG00000125848,Hypogonadotropic hypogonadism 21 with anosmia 615271
FLT3,FLT3,ENSG00000122025,"Myelodysplastic syndrome (MDS), Paediatric"
FLT4,FLT4,ENSG00000037280,MILROY DISEASE
FLVCR1,FLVCR1,ENSG00000162769,"ATAXIA, POSTERIOR COLUMN, WITH RETINITIS PIGMENTOSA"
FLVCR2,FLVCR2,ENSG00000119686,PROLIFERATIVE VASCULOPATHY AND HYDRAENCEPHALY-HYDROCEPHALY SYNDROME
FMN1,FMN1,ENSG00000248905,Animal models with skeletal dysplastic phenotypes
FMN2,FMN2,ENSG00000155816,NONSYNDROMIC AUTOSOMAL-RECESSIVE INTELLECTUAL DISABILITY
FMO3,FMO3,ENSG00000007933,
FMR1,FMR1,ENSG00000102081,FRAGILE X SYNDROME;FRAGILE X TREMOR/ATAXIA SYNDROME;PREMATURE OVARIAN FAILURE SYNDROME TYPE 1
FN1,FN1,ENSG00000115414,Spondylometaphyseal Dysplasia with Corner Fractures
FOLR1,FOLR1,ENSG00000110195,NEURODEGENERATION DUE TO CEREBRAL FOLATE TRANSPORT DEFICIENCY
FOLR2,FOLR2,ENSG00000165457,
FOLR3,FOLR3,ENSG00000110203,
FOXC1,FOXC1,ENSG00000054598,IRIDOGONIODYSGENESIS ANOMALY;AXENFELD-RIEGER SYNDROME TYPE 3;PETERS ANOMALY
FOXC2,FOXC2,ENSG00000176692,LYMPHEDEMA-DISTICHIASIS SYNDROME;HEREDITARY LYMPHEDEMA II
FOXE1,FOXE1,ENSG00000178919,BAMFORTH-LAZARUS SYNDROME
FOXE3,FOXE3,ENSG00000186790,ANTERIOR SEGMENT MESENCHYMAL DYSGENESIS;CONGENITAL PRIMARY APHAKIA
